County,HighSchoolGrad,BachelorsDegree,UnemploymentRate,PercentUrban,PerCapitaIncome,PercentPoverty,CountyPopulation, PopulationDensityPerSqMile,Region,RaceWhite,RaceNotWhite
Moore,63.9,13.5,2.9,83.19,41275,12.2,21485,24.35,Panhandle,85.22,14.78
Morris,86.9,16.5,8.6,21.58,43421,20.2,12339,51.33,East Texas,72.36,27.64
Motley,88.4,17.4,3.7,0,28938,17.8,1234,1.22,West Texas,94.23,5.77
Nacogdoches,81.2,25.2,4.3,53.54,37755,21.6,65711,68.17,East Texas,77.27,22.73
Navarro,76.8,15.7,3.9,47.34,37922,20,49565,47.28,North Texas,81.38,18.62
Newton,86.7,7.5,7.9,0,33350,22.3,13746,15.47,East Texas,76.12,23.88
Nolan,80.1,12.7,4.1,67.34,43087,18.2,14751,16.68,West Texas,90.58,9.42
Nueces,81.3,20.5,5.4,93.55,44378,16.2,362265,405.76,South Texas,91.01,8.99
Ochiltree,75.9,16.4,3.7,86.09,57287,10.5,9947,11.14,Panhandle,94.92,5.08
Oldham,84.8,25.9,2.5,0,49120,13,2131,1.37,Panhandle,92.05,7.95
Orange,89.2,15.2,6.9,64.83,44938,13.4,83572,245.26,East Texas,87.65,12.35
Palo Pinto,82.7,15.8,4.1,49.78,39125,15.9,28875,29.53,North Texas,93.87,6.13
Panola,84.3,14.2,5.5,27.28,43508,15.7,23148,29.68,East Texas,80.66,19.34
Parker,89.3,27,3.5,43.92,53289,8.3,138371,129.42,North Texas,95.08,4.92
Parmer,68.6,16,2.5,39.98,44981,13.5,9864,11.66,Panhandle,94.25,5.75
Pecos,68.8,9.6,4.5,60.22,36584,19.5,15673,3.26,West Texas,92,8
Polk,80.5,12,6,22.36,39438,15,50031,42.96,East Texas,84.85,15.15
Potter,76.4,14.6,3.2,91,43945,19.7,119648,133.29,Panhandle,79.64,20.36
Presidio,56.8,25,9.4,59.53,42848,22.4,6948,2.03,West Texas,93.15,6.85
Rains,81.9,9.5,3.5,6.77,33602,14.5,12159,47.57,East Texas,93.79,6.21
Randall,91.1,30.4,2.8,85.62,47966,8.5,136271,132.44,Panhandle,91.89,8.11
Reagan,71.5,11.5,3.8,86.69,48253,10,3741,2.86,West Texas,92.8,7.2
Real,80.3,23.2,5.7,0,34687,18.1,3478,4.73,South Texas,94.81,5.19
Red River,80.4,13.4,5.2,24.27,40648,18.2,12175,12.41,East Texas,79.18,20.82
Reeves,61,11.2,3.5,85.5,39418,21.5,15695,5.23,West Texas,91.35,8.65
Refugio,79.8,10.8,5.8,39.32,42606,16.3,7032,9.58,South Texas,89.47,10.53
Roberts,93.9,31.5,3.7,0,41971,7.8,903,1.01,Panhandle,96.16,3.84
Robertson,82.6,17.4,4.7,26.15,40394,15.8,17284,19.43,Central Texas,76.17,23.83
Rockwall,91.9,38,3.3,83.96,61003,5.1,100657,616.65,North Texas,87.72,12.28
Runnels,78.8,18.1,3.8,59.24,39816,16.9,10234,9.99,West Texas,93.68,6.32
Rusk,79.3,14.7,5.1,34.13,36485,16.4,54450,57.71,East Texas,79.43,20.57
Sabine,85.4,12.9,8.6,0,34631,17.6,10589,22.05,East Texas,90.04,9.96
San Augustine,80.5,11.5,7.5,0,39879,22.2,8232,16.71,East Texas,75.1,24.9
San Jacinto,82.8,10,5.6,0,34514,17.5,28719,46.35,East Texas,86.46,13.54
San Patricio,78.1,14.5,7.6,80.35,43945,17.3,66893,93.45,South Texas,94.2,5.8
San Saba,74.5,14.5,3.2,50.64,41233,16.8,6054,5.4,Central Texas,92.67,7.33
Schleicher,76.3,19.1,3.7,0,40136,16.5,2895,2.64,West Texas,95.5,4.5
Scurry,80.7,15.4,4.4,68.3,42095,15.8,16866,18.69,West Texas,90.73,9.27
Shackelford,84.5,25.2,3,0,130461,13.4,3253,3.69,West Texas,95.82,4.18
Shelby,75.4,15.3,5.1,20.57,41666,20.6,25418,31.99,East Texas,78,22
Sherman,74.3,21.6,3.1,0,49508,12.1,3079,3.29,Panhandle,95.08,4.92
Smith,84.7,24.7,4.1,68.39,55229,15,230221,227.59,East Texas,77.74,22.26
Somervell,82.7,19.2,4.5,0,45756,9.7,9016,45.53,North Texas,93.84,6.16
Starr,48.5,9.3,11.7,76.29,26316,33.2,64525,49.84,South Texas,98.75,1.25
Stephens,77.1,16.9,4.7,60.63,39289,19.4,9433,10.74,West Texas,94.02,5.98
Sterling,85.8,23.7,3.8,0,58174,12.6,1311,1.24,West Texas,93.59,6.41
Stonewall,79.5,13.5,3.4,0,53416,14.6,1362,1.63,West Texas,91.43,8.57
Sutton,76.6,16.8,5.1,81.2,61478,14.2,3758,2.84,West Texas,96.18,3.82
Swisher,80.5,14.8,4.1,62.43,41977,19.2,7462,8.82,Panhandle,87.72,12.28
Tarrant,85.2,30.7,3.7,98.71,51239,12.1,2084931,2094.74,North Texas,73.59,26.41
Taylor,86.8,24.1,3.5,83.97,45333,16,137640,143.64,West Texas,85.61,14.39
Terrell,76.4,17,4.9,0,48024,18.9,823,0.42,West Texas,92.1,7.9
Terry,69.2,12.1,5,75.33,32062,22.4,12287,14.23,West Texas,91.64,8.36
Throckmorton,80.6,19.9,4.3,0,35941,14.3,1515,1.8,West Texas,96.01,3.99
Titus,72.1,15.2,5.3,49.44,34718,18.6,33033,79.63,East Texas,84.85,15.15
Tom Green,83.3,22.4,3.7,84.36,45993,15.5,118189,72.42,West Texas,90.79,9.21
Travis,88.2,46.4,3,94.54,67504,12,1248743,1034.4,Central Texas,80.15,19.85
Trinity,83.7,12.2,5.5,22.76,34514,17.7,14740,21.03,East Texas,87.39,12.61
Tyler,84.4,11.3,7.3,21.87,32081,18.2,21696,23.54,East Texas,85.89,14.11
Upshur,83.4,15.8,5.2,20.7,36645,15.9,41260,67.43,East Texas,87.97,12.03
Upton,75.4,9.9,3.8,0,44545,14.2,3671,2.7,West Texas,91.97,8.03
Uvalde,69.3,14.9,4.7,68.62,39458,22.9,26846,17.01,South Texas,95.56,4.44
Val Verde,66.9,17.5,5.1,89.84,36554,18.9,49208,15.54,South Texas,94.91,5.09
Van Zandt,82.3,16.3,3.7,24.98,38200,15.6,56019,62.4,East Texas,93.81,6.19
Victoria,83.6,18.8,4.8,73.37,46142,15.4,92035,98.39,South Texas,89.37,10.63
Walker,82.6,19.5,4.6,54.42,28016,26.1,72480,86.54,Upper Gulf Coast,72.91,27.09
Waller,78.4,18.7,4.9,38.36,39995,15.9,53126,84.15,Upper Gulf Coast,70.49,29.51
Ward,77,14.1,4.1,72.11,49916,13.9,11720,12.75,West Texas,90.52,9.48
